id_n,total_gross_income,total_taxable_income,ssc_w,total_pit
860226,6667,6667,0,667
738238,3114,3114,0,467
415058,6830,3415,0,512
852475,1731,1731,0,260
277132,9564,9564,0,956
868442,8800,8800,0,880
180033,14854,11768,0,1765
414911,10026,10026,0,1003
79203,5556,5556,0,556
869682,13111,13111,0,1311
839237,2222,2222,0,222
321603,11333,11333,0,1133
420479,1931,965,0,145
862045,2353,2353,0,353
266727,44,44,0,7
460318,401,401,0,60
825662,2342,655,644,65
692807,3597,3198,0,340
834735,833,833,0,83
725889,2699,2699,0,405
831136,8745,8745,0,1312
829467,2450,2450,0,245
375392,9211,2011,0,201
57456,3889,3889,0,389
165159,2421,2421,0,242
654625,8758,3971,2196,436
595030,6115,6115,0,917
40428,225,225,0,34
417415,529,529,0,53
141950,2353,2353,0,353
325442,14266,14266,0,2140
509692,36,36,0,5
60662,5450,5450,0,818
842217,2017,2017,0,303
861074,957,957,0,144
269744,1111,1111,0,111
404391,1778,1778,0,178
809117,13923,8094,3829,809
578541,6667,6667,0,667
99940,11372,9620,0,1443
682407,11122,11122,0,1668
100975,403,403,0,60
299733,11222,11222,0,1122
855301,348,348,0,52
727776,4528,4528,0,679
570827,6630,6630,0,994
41302,10994,10994,0,1649
837429,3333,3333,0,333
646202,14210,14210,0,2132
727975,60,60,0,9
882567,2027,2027,0,304
184560,10900,10900,0,1635
326859,1556,1556,0,156
871683,9445,9445,0,944
770628,500,500,0,75
646183,3780,3780,0,567
575108,260,260,0,39
616807,8170,8170,0,1170
91473,14444,14444,0,1444
825991,7800,2226,2145,223
783396,7621,7621,0,1143
746612,11209,11209,0,1121
829579,10644,10644,0,1597
875422,15000,15000,0,2250
849117,3529,3529,0,529
673320,2719,2719,0,408
108407,13389,13389,0,1339
369231,9459,9459,0,1419
458604,10640,5320,0,798
159561,6667,6667,0,667
412075,9785,8850,0,994
117066,10000,10000,0,1000
779217,4200,4200,0,630
773180,1285,1285,0,193
328575,496,496,0,74
829022,1635,458,450,46
774239,3426,3426,0,514
584205,15109,15109,0,2266
234961,3241,1401,0,187
543908,638,638,0,96
877029,2408,2408,0,361
862252,503,503,0,75
256996,11209,11209,0,1121
331856,202,202,0,20
880510,1589,1589,0,238
860912,9477,9477,0,948
868582,2353,2353,0,353
872473,13090,9144,0,1372
108049,5556,5556,0,556
444932,460,460,0,69
864352,5718,3431,0,515
823975,3124,874,859,87
127301,6195,4957,0,744
837466,6254,3127,0,469
339880,2667,2667,0,267
503306,9367,4683,0,702
178490,10404,9363,0,1404
847995,889,889,0,89
363941,841,841,0,126
769453,8470,8470,0,847
829614,2995,2995,0,449
885244,5247,5247,0,787
854395,3333,3333,0,333
872901,2408,2408,0,361
878819,13022,13022,0,1953
265741,11222,11222,0,1122
701168,4984,830,1371,83
43257,80,80,0,12
669183,10620,2124,0,212
814325,11385,6436,3131,644
135228,3143,3143,0,471
834483,2222,2222,0,222
640015,5776,5776,0,578
128924,267,267,0,40
272877,3529,3529,0,529
43845,9916,9916,0,1487
177674,6457,6457,0,969
834857,13000,13000,0,1950
514305,10530,10530,0,1080
831694,4428,4428,0,664
165860,14355,2871,0,287
844543,13333,13333,0,1333
768691,2912,2912,0,401
178408,3334,3334,0,333
318577,11111,11111,0,1111
730488,1042,1042,0,156
505070,12776,12776,0,1916
777726,814,814,0,122
850356,6507,6507,0,651
628375,9969,9969,0,1495
869541,4007,4007,0,601
25614,14842,14842,0,2226
773008,689,689,0,103
694158,10873,10873,0,1631
787048,12213,4092,3359,409
234360,4134,4134,0,620
600458,1648,1648,0,247
850366,925,925,0,139
764727,7144,2049,1965,205
262401,1556,1556,0,156
836633,218,218,0,33
714559,14522,3919,3994,392
80626,15000,15000,0,2250
776620,2392,1196,0,179
231900,1300,1300,0,130
512611,5332,5332,0,533
68878,191,191,0,29
460074,4520,4520,0,678
872605,659,659,0,99
781352,636,636,0,95
183324,6223,3111,0,467
839708,2117,2117,0,318
124950,1610,322,0,32
777209,13020,13020,0,1953
233768,7778,7778,0,778
215617,5000,5000,0,750
851019,2408,2408,0,361
458177,15420,15420,0,2313
416740,9563,9563,0,1434
833005,4706,4706,0,706
666097,9645,9645,0,1447
131314,7059,7059,0,1059
506856,3394,3394,0,509
324142,11111,11111,0,1111
236682,1146,1146,0,172
474755,795,795,0,119
86264,11210,11210,0,1121
552194,5493,5493,0,824
838046,14330,14330,0,2150
845480,4660,4660,0,699
478491,14756,4385,4058,439
836832,3444,3444,0,344
362245,706,706,0,106
41572,5000,5000,0,500
510010,600,600,0,90
849787,218,218,0,33
117208,15088,11988,0,1354
508794,10600,10600,0,1590
464680,12600,12600,0,1890
381203,2040,1020,0,153
43272,14129,14129,0,2119
859284,11073,5535,0,830
392456,5405,2901,980,290
42315,1177,1177,0,177
522401,7902,6765,0,904
406993,3100,3100,0,465
178499,12361,6180,0,927
771524,352,352,0,53
834103,2188,2188,0,328
876371,1533,1533,0,153
861764,636,636,0,95
843269,13333,13333,0,1333
235059,6478,6478,0,972
633154,9042,2555,2487,256
415944,3333,3333,0,333
130394,889,889,0,89
361954,371,371,0,56
372403,7221,7221,0,1083
853094,2408,2408,0,361
420381,6029,6029,0,904
728956,6667,6667,0,667
373793,3315,3315,0,332
648335,2489,2489,0,373
859485,1176,1176,0,176
684097,20,20,0,3
598040,2730,2730,0,410
316338,2381,1190,0,178
422738,675,675,0,101
227517,689,689,0,103
865296,588,588,0,88
639906,2299,2299,0,289
186248,8320,8320,0,1248
768025,2598,2598,0,390
187618,525,525,0,79
325321,3853,3853,0,578
242602,1111,1111,0,111
797333,14332,6668,3941,667
230358,2941,2941,0,441
133651,3311,1655,0,248
575443,8998,8998,0,1350
176161,756,756,0,76
328577,450,450,0,68
566357,12258,3322,3371,332
262084,8456,8456,0,1268
562726,11213,3139,3084,314
720038,5556,5556,0,556
472780,2661,838,732,84
866794,896,896,0,90
426000,1047,1047,0,157
735019,9462,9462,0,1419
866449,3036,3036,0,455
882756,4049,2024,0,304
88842,2408,2408,0,361
221226,2889,2889,0,289
234517,5556,5556,0,556
474584,2606,2606,0,391
838515,3013,3013,0,452
50216,3597,3597,0,540
540911,240,240,0,36
136482,552,552,0,83
875417,3502,3502,0,525
689835,5556,5556,0,556
848949,11425,11425,0,1714
851672,5882,5882,0,882
840930,556,556,0,56
364517,4643,2321,0,348
380854,770,210,212,21
426691,14220,12798,0,1920
351866,819,213,225,21
870392,8222,8222,0,822
831013,2353,2353,0,353
255797,4007,4007,0,601
268190,2100,2100,0,315
846830,2353,2353,0,353
506867,12693,12693,0,1904
688456,11277,11277,0,1692
867686,3318,3318,0,498
68138,5177,5177,0,777
381255,9206,9206,0,1381
835187,2353,2353,0,353
846901,588,588,0,88
846587,3030,3030,0,454
880431,3333,3333,0,333
369069,634,634,0,95
855581,1225,1225,0,184
841822,4080,2040,0,306
837370,2600,2600,0,390
731971,2422,1211,0,182
578717,4998,4998,0,750
832805,8889,8889,0,889
719893,8283,5844,984,820
135944,4621,1263,1271,126
864419,594,594,0,89
847155,2408,2408,0,361
874257,6757,6757,0,1014
325489,6667,6667,0,667
852523,13000,13000,0,1950
870679,11007,11007,0,1651
848375,350,175,0,26
585768,6684,6684,0,1003
853445,3000,3000,0,450
80801,6315,6315,0,947
502591,420,420,0,63
833270,6735,6735,0,1010
847508,4748,4748,0,712
682212,4181,4181,0,560
770249,2477,1904,0,286
626646,3333,3333,0,333
769007,2000,2000,0,200
768444,424,424,0,64
40764,1467,1467,0,220
42459,990,495,0,74
550614,10437,10437,0,1566
879532,1989,1989,0,298
689731,1680,1680,0,252
881887,674,674,0,101
100628,10962,3077,3015,308
511211,1334,1334,0,133
728557,9879,2764,2717,276
600269,8685,8685,0,1303
225110,5536,5536,0,554
881073,1111,1111,0,111
141302,5905,5905,0,886
831149,15439,15439,0,1544
76296,3443,1721,0,258
376340,6600,1320,0,132
567199,4150,4150,0,622
602685,11222,11222,0,1122
829912,5882,5882,0,882
430335,7019,6695,124,998
410652,2047,2047,0,307
202095,3000,3000,0,450
648329,3143,3143,0,471
471790,14220,12798,0,1920
133439,7244,7244,0,1087
832699,246,246,0,37
212386,2099,2099,0,315
187787,1667,1667,0,167
874913,4118,4118,0,618
39674,3199,3199,0,480
777298,210,210,0,32
736871,200,200,0,30
874977,1492,1492,0,224
811835,11281,4394,2887,479
874972,4350,4350,0,652
771826,6559,4591,0,689
228181,13333,13333,0,1333
127506,150,150,0,22
24980,12995,3508,3574,351
186260,11420,11420,0,1713
845083,8824,8824,0,1324
846198,1536,1536,0,230
27908,11222,11222,0,1122
41356,8595,4297,0,645
480672,14800,7400,0,1110
562439,12995,12995,0,1949
865201,1045,1045,0,157
378362,1051,1051,0,158
459348,6100,6100,0,915
457027,2071,2071,0,311
514839,1523,1523,0,228
637375,2353,2353,0,353
734043,870,870,0,130
832295,1667,1667,0,167
829362,9713,307,2671,31
28272,504,504,0,76
879336,1800,1800,0,270
414297,12840,12840,0,1926
233690,556,556,0,56
861255,13873,12486,0,1873
856035,9877,9877,0,1482
682419,1453,1453,0,218
552288,6833,6833,0,683
665395,11111,11111,0,1111
631308,6667,6667,0,667
131804,1122,1122,0,112
806483,1077,417,296,42
847894,7500,7500,0,1125
841787,13667,13667,0,1367
271019,5233,5233,0,523
724442,9140,3225,2486,328
848967,4706,4706,0,706
519798,4261,4261,0,639
424068,3530,3530,0,530
653108,1900,1900,0,285
679093,7180,7180,0,1077
651726,10000,10000,0,1000
847447,8944,8944,0,1342
845605,1047,1047,0,157
825329,391,109,108,11
623781,12565,12565,0,1885
124497,7222,7222,0,722
845803,15240,3048,0,305
843273,7080,7080,0,1062
692955,2353,2353,0,353
774771,946,946,0,142
590240,10218,10218,0,1533
853293,8031,8031,0,1205
69084,3152,3152,0,315
735341,2479,2479,0,372
311164,11209,11209,0,1121
855565,3275,3275,0,491
542438,100,100,0,15
505090,583,583,0,87
777508,9017,9017,0,1353
736549,8889,8889,0,889
682428,2353,2353,0,353
426559,2457,2457,0,369
601862,3759,3759,0,564
587394,6184,5314,0,575
864620,8447,8447,0,845
730809,500,500,0,75
210853,6245,1745,1717,174
874030,9271,9271,0,1391
834190,3000,3000,0,450
573357,2353,2353,0,353
883539,1765,1765,0,265
861351,60,60,0,9
834828,5556,5556,0,556
855030,2353,2353,0,353
694506,583,583,0,87
739619,72,72,0,11
648438,8640,8640,0,864
878411,2408,2408,0,361
865540,2001,1000,0,150
875277,2083,2083,0,312
507972,2222,2222,0,222
268438,4444,4444,0,444
874744,206,206,0,21
860210,12914,11873,0,1781
768850,15253,9152,0,1373
737921,1985,1985,0,298
395503,9715,3913,2672,391
848453,7000,7000,0,700
864638,15173,15173,0,2276
831608,2222,2222,0,222
225993,5618,5618,0,843
542383,13611,13611,0,1361
797561,1380,690,0,104
646989,3333,3333,0,333
686794,1425,1425,0,214
404835,4706,4706,0,706
616913,0,0,0,0
849925,6296,6296,0,944
229074,13000,13000,0,1300
4655,300,300,0,45
235965,1680,1680,0,252
868813,3333,3333,0,333
437159,150,150,0,22
842421,1679,1679,0,252
183092,53,53,0,8
605071,9414,9414,0,1412
869233,592,592,0,59
774242,2353,2353,0,353
585644,3334,3334,0,333
584197,4720,4720,0,541
797083,5632,1126,0,113
486577,706,706,0,106
425821,12191,12191,0,1829
863586,3042,3042,0,456
843892,2023,2023,0,303
86906,11929,11929,0,1789
727414,1622,1622,0,162
644701,1309,1309,0,196
136573,6801,6801,0,680
636845,14246,14246,0,2137
870950,9656,9656,0,1448
85187,9456,9456,0,1418
493166,15120,15120,0,2268
847236,471,235,0,35
83940,540,540,0,81
685495,7421,7421,0,1113
231427,13711,13711,0,1371
701929,600,300,0,45
129113,4407,4407,0,661
689736,14608,14608,0,2191
868397,4334,4111,0,422
334282,500,500,0,75
647080,3867,3867,0,580
870612,6000,6000,0,600
30720,13678,13678,0,2052
671369,11111,11111,0,1111
774363,6303,1770,1733,177
123311,11208,11208,0,1121
326704,2890,1445,0,217
37386,1093,96,301,10
705559,2854,2854,0,428
41287,13288,13288,0,1993
141229,9189,9189,0,1378
859494,5117,5117,0,768
511455,5000,1000,0,100
664437,5920,2960,0,444
834286,14265,10646,0,1597
560875,14887,7443,0,1116
848574,2408,2408,0,361
685529,9714,9714,0,1457
852864,4444,4444,0,444
283118,13035,13035,0,1955
628216,8237,8237,0,1236
836073,11139,11139,0,1671
124194,5000,5000,0,500
749280,2353,2353,0,353
358882,2040,2040,0,306
77850,1135,567,0,85
612158,371,371,0,56
141150,13791,13791,0,1791
862589,7050,7050,0,1058
883132,718,359,0,54
809253,13361,4596,3674,460
849327,7403,7403,0,1110
753813,1540,770,0,116
879712,4161,4161,0,624
866370,3765,3765,0,565
469513,6760,6760,0,1014
726062,6890,6890,0,1034
268269,70,35,0,5
824830,1337,605,368,61
690110,9007,9007,0,1351
774354,636,636,0,95
585015,1129,1129,0,169
821306,3817,1312,1050,131
858171,2445,2445,0,367
387411,14876,4176,4091,418
552396,2114,2114,0,317
867299,6000,6000,0,600
736772,5356,5356,0,803
621639,12083,3195,3323,320
831284,10378,10378,0,1038
617267,2222,2222,0,222
829661,14000,14000,0,2100
236045,12,12,0,2
709316,6112,5887,0,883
860770,1047,1047,0,157
471658,9320,4660,0,699
59974,11222,11222,0,1122
634299,482,482,0,72
685129,12728,12728,0,1909
833593,633,633,0,95
