id_n,total_gross_income,total_taxable_income,total_pit,total_net_icome
616913,0,0,0,0
846950,0,0,0,0
846943,0,0,0,0
426708,1,1,0,0
850284,1,1,0,0
646149,4,4,1,0
174761,4,4,1,0
423030,4,4,1,0
780445,4,4,1,0
9645,4,4,1,0
426706,4,4,1,0
42537,4,4,1,0
742391,4,4,1,0
269394,4,4,1,0
358642,4,4,1,0
562446,4,4,1,0
456831,8,8,1,0
86737,8,8,1,0
181422,8,8,1,0
429066,9,7,1,0
719749,9,9,1,0
779243,11,8,1,0
214789,12,12,2,0
626606,12,12,2,0
570104,12,12,2,0
458749,12,12,2,0
465266,12,12,2,0
721355,12,12,2,0
621181,12,12,2,0
275613,12,12,2,0
535675,12,12,2,0
376816,12,12,2,0
638739,12,12,2,0
253901,12,12,2,0
178584,12,12,2,0
236045,12,12,2,0
646194,12,12,2,0
127521,16,16,2,0
520350,16,16,2,0
420299,16,16,2,0
225897,16,16,2,0
376681,16,16,2,0
418445,16,16,2,0
424825,16,16,2,0
589037,16,16,2,0
461518,16,16,2,0
165395,16,16,2,0
225898,16,16,2,0
562664,16,16,2,0
461692,16,16,2,0
271337,16,16,2,0
470867,16,16,2,0
769936,16,16,2,0
852391,19,19,3,0
684097,20,20,3,0
426499,20,20,3,0
742610,20,20,3,0
771769,20,20,3,0
316348,20,20,3,0
370675,20,20,3,0
685043,20,20,3,0
694500,24,24,4,0
722866,24,24,4,0
729236,24,24,4,0
727411,24,24,4,0
43122,24,24,4,0
503388,24,24,4,0
271126,24,24,4,0
411900,24,24,4,0
77772,24,24,4,0
653663,24,24,4,0
673216,24,24,4,0
314795,24,24,4,0
42111,24,24,4,0
683486,26,26,4,0
229654,28,28,4,0
585650,29,29,3,0
594810,30,30,4,0
862999,30,30,4,0
835436,30,30,4,0
180136,32,32,5,0
681962,32,32,5,0
423488,32,32,5,0
720269,32,32,5,0
265231,32,32,5,0
261441,32,32,5,0
502710,32,32,5,0
328906,35,35,4,0
184691,36,36,5,0
455331,36,36,5,0
767750,36,36,5,0
413455,36,36,5,0
466253,36,36,5,0
41046,36,36,5,0
178425,36,36,5,0
509692,36,36,5,0
178726,36,36,5,0
422109,36,36,5,0
277404,37,37,6,0
775963,40,40,6,0
470219,40,40,6,0
235212,40,40,6,0
236672,40,40,6,0
615223,40,40,6,0
233501,40,40,6,0
272498,40,40,6,0
187589,40,40,6,0
86885,40,40,6,0
