id_n,Salaries
860226,6667
738238,3114
415058,6830
852475,1731
277132,9564
868442,8800
180033,14854
414911,10026
79203,5556
869682,13111
839237,2222
321603,11333
420479,1931
862045,2353
266727,44
460318,401
825662,2342
692807,3597
834735,833
725889,2699
831136,8745
829467,2450
375392,9211
57456,3889
165159,2421
654625,8758
595030,6115
40428,225
417415,529
141950,2353
325442,14266
509692,36
60662,5450
842217,2017
861074,957
269744,1111
404391,1778
809117,13923
578541,6667
99940,11372
682407,11122
100975,403
299733,11222
855301,348
727776,4528
570827,6630
41302,10994
837429,3333
646202,14210
727975,60
882567,2027
184560,10900
326859,1556
871683,9445
770628,500
646183,3780
575108,260
616807,8170
91473,14444
825991,7800
783396,7621
746612,11209
829579,10644
875422,15000
849117,3529
673320,2719
108407,13389
369231,9459
458604,10640
159561,6667
412075,9785
117066,10000
779217,4200
773180,1285
328575,496
829022,1635
774239,3426
584205,15109
234961,3241
543908,638
877029,2408
862252,503
256996,11209
331856,202
880510,1589
860912,9477
868582,2353
872473,13090
108049,5556
444932,460
864352,5718
823975,3124
127301,6195
837466,6254
339880,2667
503306,9367
178490,10404
847995,889
363941,841
769453,8470
829614,2995
885244,5247
854395,3333
872901,2408
878819,13022
265741,11222
701168,4984
43257,80
669183,10620
814325,11385
135228,3143
834483,2222
640015,5776
128924,267
272877,3529
43845,9916
177674,6457
834857,13000
514305,10530
831694,4428
165860,14355
844543,13333
768691,2912
178408,3334
318577,11111
730488,1042
505070,12776
777726,814
850356,6507
628375,9969
869541,4007
25614,14842
773008,689
694158,10873
787048,12213
234360,4134
600458,1648
850366,925
764727,7144
262401,1556
836633,218
714559,14522
80626,15000
776620,2392
231900,1300
512611,5332
68878,191
460074,4520
872605,659
781352,636
183324,6223
839708,2117
124950,1610
777209,13020
233768,7778
215617,5000
851019,2408
458177,15420
416740,9563
833005,4706
666097,9645
131314,7059
506856,3394
324142,11111
236682,1146
474755,795
86264,11210
552194,5493
838046,14330
845480,4660
478491,14756
836832,3444
362245,706
41572,5000
510010,600
849787,218
117208,15088
508794,10600
464680,12600
381203,2040
43272,14129
859284,11073
392456,5405
42315,1177
522401,7902
406993,3100
178499,12361
771524,352
834103,2188
876371,1533
861764,636
843269,13333
235059,6478
633154,9042
415944,3333
130394,889
361954,371
372403,7221
853094,2408
420381,6029
728956,6667
373793,3315
648335,2489
859485,1176
684097,20
598040,2730
316338,2381
422738,675
227517,689
865296,588
639906,2299
186248,8320
768025,2598
187618,525
325321,3853
242602,1111
797333,14332
230358,2941
133651,3311
575443,8998
176161,756
328577,450
566357,12258
262084,8456
562726,11213
720038,5556
472780,2661
866794,896
426000,1047
735019,9462
866449,3036
882756,4049
88842,2408
221226,2889
234517,5556
474584,2606
838515,3013
50216,3597
540911,240
136482,552
875417,3502
689835,5556
848949,11425
851672,5882
840930,556
364517,4643
380854,770
426691,14220
351866,819
870392,8222
831013,2353
255797,4007
268190,2100
846830,2353
506867,12693
688456,11277
867686,3318
68138,5177
381255,9206
835187,2353
846901,588
846587,3030
880431,3333
369069,634
855581,1225
841822,4080
837370,2600
731971,2422
578717,4998
832805,8889
719893,8283
135944,4621
864419,594
847155,2408
874257,6757
325489,6667
852523,13000
870679,11007
848375,350
585768,6684
853445,3000
80801,6315
502591,420
833270,6735
847508,4748
682212,4181
770249,2477
626646,3333
769007,2000
768444,424
40764,1467
42459,990
550614,10437
879532,1989
689731,1680
881887,674
100628,10962
511211,1334
728557,9879
600269,8685
225110,5536
881073,1111
141302,5905
831149,15439
76296,3443
376340,6600
567199,4150
602685,11222
829912,5882
430335,7019
410652,2047
202095,3000
648329,3143
471790,14220
133439,7244
832699,246
212386,2099
187787,1667
874913,4118
39674,3199
777298,210
736871,200
874977,1492
811835,11281
874972,4350
771826,6559
228181,13333
127506,150
24980,12995
186260,11420
845083,8824
846198,1536
27908,11222
41356,8595
480672,14800
562439,12995
865201,1045
378362,1051
459348,6100
457027,2071
514839,1523
637375,2353
734043,870
832295,1667
829362,9713
28272,504
879336,1800
414297,12840
233690,556
861255,13873
856035,9877
682419,1453
552288,6833
665395,11111
631308,6667
131804,1122
806483,1077
847894,7500
841787,13667
271019,5233
724442,9140
848967,4706
519798,4261
424068,3530
653108,1900
679093,7180
651726,10000
847447,8944
845605,1047
825329,391
623781,12565
124497,7222
845803,15240
843273,7080
692955,2353
774771,946
590240,10218
853293,8031
69084,3152
735341,2479
311164,11209
855565,3275
542438,100
505090,583
777508,9017
736549,8889
682428,2353
426559,2457
601862,3759
587394,6184
864620,8447
730809,500
210853,6245
874030,9271
834190,3000
573357,2353
883539,1765
861351,60
834828,5556
855030,2353
694506,583
739619,72
648438,8640
878411,2408
865540,2001
875277,2083
507972,2222
268438,4444
874744,206
860210,12914
768850,15253
737921,1985
395503,9715
848453,7000
864638,15173
831608,2222
225993,5618
542383,13611
797561,1380
646989,3333
686794,1425
404835,4706
616913,0
849925,6296
229074,13000
4655,300
235965,1680
868813,3333
437159,150
842421,1679
183092,53
605071,9414
869233,592
774242,2353
585644,3334
584197,4720
797083,5632
486577,706
425821,12191
863586,3042
843892,2023
86906,11929
727414,1622
644701,1309
136573,6801
636845,14246
870950,9656
85187,9456
493166,15120
847236,471
83940,540
685495,7421
231427,13711
701929,600
129113,4407
689736,14608
868397,4334
334282,500
647080,3867
870612,6000
30720,13678
671369,11111
774363,6303
123311,11208
326704,2890
37386,1093
705559,2854
41287,13288
141229,9189
859494,5117
511455,5000
664437,5920
834286,14265
560875,14887
848574,2408
685529,9714
852864,4444
283118,13035
628216,8237
836073,11139
124194,5000
749280,2353
358882,2040
77850,1135
612158,371
141150,13791
862589,7050
883132,718
809253,13361
849327,7403
753813,1540
879712,4161
866370,3765
469513,6760
726062,6890
268269,70
824830,1337
690110,9007
774354,636
585015,1129
821306,3817
858171,2445
387411,14876
552396,2114
867299,6000
736772,5356
621639,12083
831284,10378
617267,2222
829661,14000
236045,12
709316,6112
860770,1047
471658,9320
59974,11222
634299,482
685129,12728
833593,633
299773,4635
363502,8624
460196,2333
641214,3156
459928,3500
865431,3529
879437,2139
643012,3333
562394,6667
816891,8589
237400,3742
74027,2408
832218,1176
605616,421
851805,4145
464905,3352
844652,15000
856296,6688
727411,24
884405,4444
428242,7464
847018,260
66627,2978
194081,14525
879490,6000
866248,11340
477714,4278
856896,2929
855192,11765
423634,13777
471686,12600
21548,11222
322588,1112
175620,679
285658,11815
640119,4080
232717,3473
831981,6371
466640,11222
850004,6175
871729,2027
310744,530
278986,4133
66846,50
476284,10081
621349,804
236754,2704
854959,6497
688315,7870
716276,11380
327072,13332
863608,1572
677849,4706
378191,11353
525099,1889
323718,7059
228316,1645
570060,2334
552195,10400
280630,596
213308,12299
871295,2222
864933,1006
545333,2353
843483,812
76397,583
805175,13854
42441,13795
871830,1098
839551,8235
810862,9066
838251,13005
366137,176
676343,5083
615371,14589
40393,525
832580,176
856187,3600
162389,150
582737,1796
855944,1166
847046,8833
871012,1200
683747,5556
680870,7250
809954,3817
880663,2000
590430,1111
772056,530
474492,576
126724,10998
8012,3058
635668,210
477023,428
756763,11111
44866,6711
236550,681
676553,9536
565643,11807
514415,6051
870386,207
832544,6657
76074,1708
814439,14315
854256,706
136436,1084
322682,530
325466,140
250593,11742
105501,11326
508250,7356
771924,11287
856242,2176
884262,2353
414224,4444
864215,811
853229,2408
865383,210
221567,1111
617875,11302
841712,289
694383,2312
882738,12755
850400,10543
313963,2353
408801,4360
846566,218
48942,556
856183,2193
836236,13860
696782,11150
882720,250
880498,3000
646998,80
541374,5035
411797,10305
96763,1675
578665,678
856233,2222
235847,3742
844709,3580
827120,13197
826200,1898
310308,1363
218576,9109
309241,2887
41392,11100
831358,1759
543915,125
869791,5404
878319,1583
273029,460
273985,477
559560,10991
871590,896
741838,9459
294449,14157
287527,9575
865328,3032
459336,5245
858619,10584
828105,1781
458283,1233
834605,2222
322359,10240
439552,13955
877186,4405
600401,10223
477823,2353
877166,3830
131088,225
648214,14118
848753,3000
845847,15400
410011,2334
724697,14926
330424,7635
450705,11111
739216,930
882137,588
472432,11174
874141,2353
836951,12325
768958,3377
735350,2283
843688,3132
370794,8160
773767,1059
369821,14391
651136,11000
726315,558
837920,3333
769101,4444
618316,8778
849134,588
378471,9230
824348,3169
845504,3455
582689,420
464848,4062
30097,218
522455,15187
598673,477
278757,4444
779836,438
855897,2082
159832,2564
48513,2353
504246,725
237394,9484
635728,6667
271186,7766
724441,4018
868457,60
358680,3714
251603,5000
574479,13849
108698,5219
676371,9612
372227,2353
826346,1111
471650,570
332874,3143
514328,7381
470123,1648
275676,5596
426358,7916
714715,11176
770142,3029
598981,520
688043,3000
866389,2043
832181,584
553587,5351
51636,4500
166575,2500
850025,4818
226034,1823
838092,10000
513362,10401
426467,240
307894,8456
411900,24
845704,309
768172,2012
789199,14444
854898,8970
44851,1506
843265,100
868594,14444
228416,1135
829616,2689
867163,2000
837622,2017
727906,6049
410214,3800
769542,8206
682058,3785
669625,2353
635376,4702
166571,11719
85459,2118
37305,1229
870431,8978
361240,1567
590229,4186
537814,7200
367728,250
563877,13339
866567,3307
846950,0
883473,503
1473,706
585946,10889
837859,122
366798,223
457642,11954
157220,14250
830221,2000
534521,4861
365517,2703
455128,12800
228270,5822
180131,250
692853,3143
825648,1563
534721,209
846214,4626
184540,15132
113381,500
226095,11765
530702,13028
311739,6870
637172,1686
881924,2696
79320,7980
824984,2594
779412,3287
569074,13901
189801,1318
881600,428
477960,2222
684081,634
650113,634
331472,530
853616,3193
556463,9412
379697,527
826667,855
836235,778
358377,4650
40570,3979
823391,6667
302175,1610
834561,14760
117267,7604
776165,3891
520394,1500
291689,6667
623850,10800
476328,13043
871169,10459
860064,2327
864152,3043
80831,10000
233608,6118
681611,11765
655959,14206
840684,10714
621577,1293
880682,221
44358,9200
527659,12172
824094,1611
83685,3333
843050,7128
51853,10792
840150,11166
565431,5045
459662,9086
805314,11223
833406,4504
854374,12827
861945,1134
47025,3999
847249,3529
828978,8206
185398,14924
843374,2520
420565,8471
36730,9433
809653,3000
128282,632
77638,10388
647980,9116
455023,583
772636,5882
842990,2014
873029,4740
488162,5248
358869,7659
851828,588
680554,7059
865455,910
857413,2013
19304,4550
869044,11376
857383,865
361732,6240
673164,4444
876260,3529
360125,3000
360437,8145
602001,1613
882452,3000
340232,1942
426706,4
747956,12625
598896,1276
233708,2570
603914,6597
488055,3027
862720,5840
696463,4394
849714,8058
577135,2408
474560,11966
83903,6112
882557,13897
881932,5294
269741,3000
554814,14597
141337,4946
156984,14130
879618,8933
848758,1111
128874,10056
856551,1451
773027,1790
861888,176
871495,7581
676854,440
869222,9918
852058,2778
653061,2202
840924,2353
837336,5556
849752,1000
882497,4480
596564,9300
22453,2008
637310,556
68271,6859
37534,13187
32050,11000
332995,8167
822692,11112
842136,4118
564462,7881
623752,1620
641464,5565
424942,12853
28831,8680
729396,206
872765,2012
371713,6680
28844,11222
445213,1060
854005,8800
111581,13636
852084,2960
849475,1047
768501,851
851616,2222
826551,12433
632577,1074
781743,3273
618365,2794
684984,9647
285661,13371
777531,602
83895,8369
99789,2422
604369,6163
866896,2942
104356,14112
136743,11000
111968,1762
413538,3333
882563,1808
552192,7414
99972,3399
679520,5015
590492,2304
466318,4735
618460,1667
838811,134
773687,10789
375068,4111
422038,7317
773867,4706
299912,6157
683760,9909
852349,12120
231963,4706
590272,8057
855388,4822
861016,2752
573857,5591
476933,13110
512654,857
38526,6363
214758,2353
701331,1566
312410,1579
466345,10900
725914,1334
616788,210
843650,1300
831361,1176
40057,2000
257610,13979
471976,1011
828116,5556
328762,4706
776646,12990
93042,1160
166749,2222
834201,15050
423145,2376
328097,10465
859668,2689
556304,140
375162,298
855424,10764
367856,7670
847058,2927
743222,6829
82226,7616
91618,300
383165,14435
268447,2263
778903,8101
421755,4081
633128,13670
422534,1754
830373,588
694491,4732
366016,9680
225897,16
778196,10686
372348,2353
861947,300
175524,6667
834609,1650
881302,3033
836655,363
829884,4452
505746,7730
852605,1896
845215,3529
85524,1200
213227,9790
269707,3529
845253,13117
773937,1260
849133,218
641430,2100
696608,2500
736376,7201
283355,8209
643287,8126
280380,10004
591871,2353
235842,1911
567588,7642
132629,10240
523499,2005
328811,3333
629912,6667
573063,1553
870691,2057
838101,652
506596,13370
847939,4906
729163,476
488106,2353
871223,1176
643009,2750
880645,150
825319,4718
571538,2096
456648,4000
571642,2353
652952,79
600820,3922
822542,12679
841087,4511
68007,540
870325,8734
253023,10498
864116,2289
426485,2970
478717,12297
398258,10678
683736,7723
98496,7372
48676,8278
779238,13369
866252,588
228871,3333
878742,6160
684075,3590
861490,9170
837166,6817
41064,9076
774789,1260
83878,212
883682,372
268217,13456
178425,36
855591,8678
653134,13278
736242,13089
634446,4107
691232,1076
3688,5652
424763,7830
834669,576
694162,11276
610974,13525
770644,6762
584299,424
