CIT_ID_NO,legal_form_pol,legal_form_pol_english,sector_pol,sector_long,sector,province_pol,province,revenue,revenue_poland,revenue_outside_poland,revenue_outside_poland_other,expenditure,tax_deductible_expenditure_poland,tax_deductible_expenditure_outside_poland,tax_deductible_expenditure_outside_poland_other,tax_deductible_expediture_intellectual_property,tax_deductible_expenditure_on_interest_income,income_art_7_2_total,loss_art_7_2_total,loss_art_7_3_4_a,income,loss,tax_free_income_total,tax_free_income_statistic_purpose_art_17_1_4d_etc,tax_free_income_art_17_1_4,tax_free_income_non_agriculture_art_17_1_4e,tax_free_income_subsidies_art_17_1_21,tax_free_income_art_17_1_23_24,tax_free_income_art_17_1_34,tax_free_income_art_17_1_39,tax_free_income_housing_coops_art_17_1_44,tax_free_income_subsidies_state_local_art_17_1_47,tax_free_income_amounts_government_agencies_art_17_1_48,tax_free_income_agriculture_producer_groups_art_17_1_49,tax_free_income_financial_programs_central_europe_art_17_1_52,tax_free_income_environmental_finances_art_17_1_53,tax_free_income_other_art_17_1,tax_free_income_other,deductions_from_income_total,loss_from_previous_years,deductions_from_income_art_18_1_1,deductions_from_income_art_18_1_7,tax_base_before_deductions,deductions_from_tax_base,income_tax_base_after_deductions,tax_rate,tax,tax_due
1,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,107443809.7,107443809.7,0,0,105294933.5,105294933.5,0,0,0,0,2148876.19,0,0,2148876.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2148876.19,0,2148876,19,408286.44,408286
2,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,26 Świętokrzyskie,Świętokrzyskie,106987524.3,106987524.3,0,0,104847773.8,104847773.8,0,0,0,0,2139750.49,0,0,2139750.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2139750.49,0,2139750,19,406552.5,406553
3,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"D Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych","D Production and supply of electricity, gas, steam, hot water and air for air conditioning systems",Utilities,14 Mazowieckie,Mazowieckie,85726148.66,85726148.66,0,0,84011625.69,84011625.69,0,0,0,0,1714522.97,0,0,1714522.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33258.36,33258.36,0,0,1681264.61,0,1681265,19,319440.35,319440
4,OSP.99 Bez szczególnej formy prawnej,OSP.99 Without a particular legal form,"D Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych","D Production and supply of electricity, gas, steam, hot water and air for air conditioning systems",Utilities,12 Małopolskie,Małopolskie,85269863.3,85269863.3,0,0,83564466.03,83564466.03,0,0,0,0,1705397.27,0,0,1705397.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325896.73,325896.73,0,0,1379500.54,0,1379501,19,262105.19,262105
5,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,F Budownictwo,F Construction,Construction,12 Małopolskie,Małopolskie,49579741.61,49579741.61,0,0,53546120.94,53546120.94,0,0,0,0,0,3966379.33,0,0,3966379.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
6,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,F Budownictwo,F Construction,Construction,24 Śląskie,Śląskie,49123456.25,49123456.25,0,0,53053332.75,53053332.75,0,0,0,0,0,3929876.5,0,0,3929876.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
7,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,Q Opieka zdrowotna i pomoc społeczna,Q Health care and social assistance,Health,14 Mazowieckie,Mazowieckie,27708271.92,27708271.92,0,0,27154106.48,27154106.48,0,0,0,0,554165.44,0,0,554165.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554165.44,0,554165,19,105291.35,105291
8,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,Q Opieka zdrowotna i pomoc społeczna,Q Health care and social assistance,Health,10 Łódzkie,Łódzkie,27251986.56,27251986.56,0,0,26706946.83,26706946.83,0,0,0,0,545039.73,0,0,545039.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545039.73,0,545040,19,103557.6,103558
9,OSP.16 Spółki akcyjne,OSP.16 Joint stock companies,"M Działalność profesjonalna, naukowa i techniczna","M Professional, scientific and technical activities",Professional/Scientific,26 Świętokrzyskie,Świętokrzyskie,19983182.98,19983182.98,0,0,19583519.32,19583519.32,0,0,0,0,399663.66,0,0,399663.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399663.66,0,399664,19,75936.16,75936
10,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"M Działalność profesjonalna, naukowa i techniczna","M Professional, scientific and technical activities",Professional/Scientific,14 Mazowieckie,Mazowieckie,19526897.62,19526897.62,0,0,19136359.67,19136359.67,0,0,0,0,390537.95,0,0,390537.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390537.95,0,390538,19,74202.22,74202
