GST_ID_NO,AYEAR,CONSUMPTION_TOTAL
410001101,2017,919819.7813
410001102,2017,571755.0016
410001103,2017,918464.6961
410001201,2017,499006.0688
410001202,2017,531063.7469
410001203,2017,563289.7922
410001204,2017,538260.7703
410001301,2017,205529.6356
410011101,2017,363009.4148
410011102,2017,396674.0501
410011201,2017,365034.5747
410011202,2017,799560.7179
410011203,2017,658576.8613
410011204,2017,344577.2682
410011301,2017,1171246.48
410011302,2017,505626.0269
410021101,2017,718337.7501
410021102,2017,924543.5704
410021103,2017,1314780.966
410021104,2017,830287.7512
410021201,2017,431809.1838
410021202,2017,541984.5391
410021203,2017,493640.7188
410021204,2017,1042139.307
410031101,2017,658830.7701
410031102,2017,645280.5965
410031201,2017,506394.5422
410031202,2017,539000.0929
410031203,2017,302922.6538
410031204,2017,255959.7169
410031301,2017,246567.8084
410031302,2017,637466.4526
410041101,2017,673658.6343
410041102,2017,914750.4319
410041201,2017,208994.0645
410041202,2017,448290.8493
410041203,2017,376431.2761
410041204,2017,236031.9528
410041301,2017,457802.9232
410041302,2017,347532.5218
410051101,2017,231912.385
410051102,2017,1629837.607
410051103,2017,506120.2664
410051104,2017,427200.1288
410051201,2017,492168.8627
410051202,2017,256624.3604
410051203,2017,513528.4278
410051204,2017,403938.2846
410061101,2017,1061746.631
410061102,2017,671337.4737
410061201,2017,498088.8744
410061202,2017,412216.1175
410061203,2017,713387.8871
410061204,2017,459088.0817
410061301,2017,210672.9852
410061302,2017,111634.9913
410071101,2017,272376.887
410071102,2017,527515.1343
410071201,2017,391093.4886
410071202,2017,299502.3534
410071203,2017,174093.8303
410071204,2017,413017.8989
410071301,2017,278241.2288
410071302,2017,188978.7221
410081101,2017,599520.6712
410081201,2017,282306.4846
410081202,2017,204616.5145
410081203,2017,399745.3956
410081204,2017,532223.3088
410081205,2017,384661.586
410081301,2017,392403.7664
410081302,2017,367004.0648
410091101,2017,619417.2059
410091102,2017,727726.943
410091201,2017,432061.7347
410091202,2017,406575.8128
410091203,2017,376741.5336
410091204,2017,763333.9124
410091301,2017,276463.8675
410091302,2017,523119.2541
410101101,2017,1794588.409
410101201,2017,274238.4319
410101202,2017,577402.7743
410101203,2017,476613.8961
410101204,2017,794486.6161
410101301,2017,130718.8822
410102101,2017,931866.8693
410111101,2017,1293811.089
410111102,2017,2789005.091
410111201,2017,658361.6499
410111202,2017,665129.6082
410111203,2017,530035.2128
410111204,2017,507132.5069
410111301,2017,354369.049
410111302,2017,196325.7825
410121101,2017,1023017.398
410121102,2017,861446.5651
410121103,2017,1346905.176
410121104,2017,274332.1202
410121201,2017,633341.4536
410121202,2017,163001.2763
410121203,2017,645553.5144
410121204,2017,484837.417
410131101,2017,721632.4538
410131102,2017,875031.3626
410131201,2017,985449.0853
410131202,2017,425687.5386
410131203,2017,399893.3959
410131204,2017,377903.8111
410131301,2017,208721.8254
410131302,2017,288278.7716
410141101,2017,675106.05
410141102,2017,204960.0381
410141201,2017,609184.1398
410141202,2017,767816.6919
410141203,2017,286225.0978
410141204,2017,246081.0368
410141301,2017,223104.3309
410141302,2017,286225.0978
410151101,2017,1675547.293
410151102,2017,856992.2994
410151201,2017,2678956.011
410151202,2017,1263793.507
410151203,2017,285836.7668
410151204,2017,534031.2207
410151301,2017,398553.9253
410151302,2017,307926.8288
410161101,2017,1464929.978
410161102,2017,720034.3222
410161103,2017,1119311.277
410161104,2017,1466954.459
410161201,2017,551349.9705
410161202,2017,507342.966
410161203,2017,443009.6829
410161204,2017,692809.0574
410171101,2017,1075347.722
410171102,2017,989791.3324
410171201,2017,299114.7013
410171202,2017,491052.0715
410171203,2017,397950.3829
410171204,2017,321371.7728
410171301,2017,207201.0884
410171302,2017,274236.3952
410181101,2017,1948748.366
410181102,2017,626701.1286
410181201,2017,356183.071
410181202,2017,239822.2538
410181203,2017,648381.1347
410181204,2017,164913.0599
410181301,2017,272023.8588
410181302,2017,111286.0365
410191101,2017,1524716.665
410191102,2017,260158.716
410191103,2017,542663.4395
410191104,2017,288665.066
410191201,2017,810768.6851
410191202,2017,1280799.284
