ID_NO,CONS_BEDDING,CONS_BEVERAGE,CONS_CEREAL,CONS_CEREAL_SUB,CONS_CLOTHING,CONS_CONS_SERVICES,CONS_CONS_TAXES,CONS_CONVEYANCE,CONS_DRY_FRUIT,CONS_DURABLE_GOODS,CONS_EDIBLE_OIL,CONS_EDUCATION,CONS_ENTERTAINMENT,CONS_FOOTWEAR,CONS_FRUIT,CONS_FUEL,CONS_IMPUTED_RENT,CONS_INTOXICANT,CONS_MEDICAL_INST,CONS_MEDICAL_NON_INST,CONS_MILK_PROD,CONS_MINOR_DURABLE_GOODS,CONS_NON_VEG,CONS_OTHER_HOUSEHOLD_CONSUMABLES,CONS_PACK_PROC_FOOD,CONS_PAN,CONS_PROC_FOOD,CONS_PULSES,CONS_RENT,CONS_SALT_SUGAR,CONS_SPICES,CONS_TOBACCO,CONS_TOILETARIES,CONS_VEGETABLE,HH_SIZE,URBAN,DISTRICT,STATE_CODE,WEIGHT,ASSESSMENT_YEAR,CONS_OTHER
410001101,0,9482.407155,23650.23902,0,53226.79149,15952.75557,1026.331127,34582.89668,892.4618499,87986.95799,16733.65969,5868.242301,4462.309249,4731.270355,446.2309249,20481.99945,5501.477157,0,0,11155.77312,38152.74408,0,18741.69885,5689.444293,0,0,3346.731937,8523.010666,0,3257.485752,4060.701417,10040.19581,9593.964886,16510.54422,5,0,7,24,3694.42,2017,390448.086
410001102,0,1405.627414,10486.42674,0,17311.31479,7139.694799,736.2810261,15618.08237,9147.733961,60213.66748,4462.309249,37776.80981,15618.08237,2347.29692,6916.579337,11401.20013,6418.390016,0,0,0,14390.94733,1004.019581,535.4771099,3458.289668,780.9041186,0,0,5466.32883,3904.520593,3569.8474,3726.028223,0,6135.675218,7429.7449,2,0,7,24,3694.42,2017,246914.8526
410001103,916.9128595,9482.407155,24252.65077,1784.9237,24023.11692,21865.31532,736.2810261,53547.71099,1784.9237,7757.082791,16956.77515,8325.568764,49085.40174,3575.960152,3123.616475,23694.86211,5501.477157,0,0,7809.041186,33913.5503,4462.309249,5488.640377,7028.137068,0,0,0,7139.694799,0,8679.19149,6961.202429,44623.09249,10040.19581,20928.23038,5,0,7,24,3694.42,2017,389235.6216
410001201,1833.825719,6135.675218,12940.69682,0,10241.91664,7585.925724,803.2156649,13386.92775,9437.784062,13203.54518,6247.232949,1760.47269,15618.08237,1833.825719,3123.616475,20682.80337,6418.390016,0,0,11155.77312,14056.27414,0,11512.75786,3012.058743,4685.424712,0,4462.309249,8500.69912,3346.731937,4083.012963,4350.751518,6693.463874,7920.598918,9616.276432,3,0,7,24,8248,2017,211709.3721
410001202,1833.825719,14770.24362,13096.87765,0,22556.05634,8366.829843,736.2810261,26773.8555,892.4618499,4309.490439,5020.097906,13386.92775,5577.886562,2383.973435,446.2309249,18987.12586,4584.564297,0,0,0,38152.74408,0,1784.9237,5466.32883,11155.77312,0,0,4016.078324,0,2989.747197,4417.686157,10040.19581,5466.32883,11869.7426,4,0,7,24,8248,2017,225985.3997
410001203,550.1477157,5020.097906,16510.54422,0,13010.99348,5354.771099,0,11155.77312,5867.936663,4804.623384,8032.156649,12836.78003,5577.886562,2328.958663,3837.585954,19879.58771,0,0,0,8924.618499,35832.34327,0,14502.50506,3346.731937,5912.559755,0,4462.309249,7742.106548,33467.31937,4819.293989,4239.193787,0,6224.921403,9348.537877,3,0,7,24,8248,2017,237079.7397
410001204,0,8099.091288,11044.21539,0,12580.04443,5912.559755,1115.577312,32351.74206,334.6731937,5675.6906,7585.925724,0,5020.097906,3392.57758,3123.616475,15885.82093,5501.477157,0,0,22311.54625,49308.51721,0,8478.387574,5354.771099,3525.224307,0,4462.309249,5354.771099,0,3101.304928,4506.932342,0,9147.733961,9147.733961,5,0,7,24,8248,2017,231278.1264
410001301,0,1383.315867,8188.337473,0,3190.856751,669.3463874,1004.019581,669.3463874,0,1100.295431,10040.19581,9719.27631,4462.309249,733.5302876,334.6731937,9906.326534,2750.738578,0,0,446.2309249,7585.925724,0,713.9694799,4239.193787,1115.577312,0,0,5064.720998,0,2498.89318,3391.35503,0,4462.309249,8857.68386,4,0,7,24,257.75,2017,84340.08991
410011101,458.4564297,4239.193787,10374.869,0,5629.844957,8143.71438,1294.069682,3346.731937,892.4618499,128.3678003,24542.70087,0,4908.540174,641.8390016,2900.501012,12650.64672,2750.738578,0,0,11155.77312,24765.81633,446.2309249,12405.21971,1338.692775,3346.731937,0,3346.731937,5801.002024,0,3190.551113,4908.540174,0,1784.9237,8032.156649,2,0,7,24,924,2017,153050.1776
410011102,641.8390016,1070.95422,7362.810261,0,5409.785871,1673.365969,1405.627414,0,0,449.2873011,8924.618499,0,4908.540174,990.2658882,9370.849424,16354.3634,2750.738578,0,18338.25719,40160.78324,26216.06684,669.3463874,6024.117487,6024.117487,0,0,0,3904.520593,0,1740.300607,6693.463874,0,2655.074003,4841.605536,2,0,7,24,924,2017,171217.889
410011201,871.0672165,4350.751518,9147.733961,0,7335.302876,5131.655637,937.0849424,7809.041186,0,412.6107868,7028.137068,51988.95913,10709.5422,1357.031032,1004.019581,10821.09993,2750.738578,0,0,1115.577312,18072.35246,0,1338.692775,3458.289668,669.3463874,0,1115.577312,2900.501012,0,3190.551113,2722.008642,0,2788.943281,5310.148007,5,0,7,24,6270,2017,155189.0297
